Evelyn Fernandes,607.852.134-90,70.985.428-3,Parque de Viana,08/06/2024,29/08/2025
Clarice Silva,531.794.268-37,66.125.974-5,Esplanada de Costela,31/12/2024,15/12/2025
Alana da Costa,362.049.185-24,34.177.581-7,Distrito Marcos Vinicius Porto,18/05/2024,03/06/2025
Davi Luiz Santos,479.203.561-99,35.487.594-1,Trecho de Cardoso,16/02/2024,21/05/2025
Maria Fernanda Viana,439.852.706-00,32.821.543-3,Favela Mendes,14/10/2024,01/12/2025
Maria Alice das Neves,417.026.985-30,54.692.479-9,Favela de da Rosa,14/04/2024,01/04/2026
Luigi Rezende,412.576.398-46,28.707.495-7,Largo de Correia,11/09/2024,08/08/2026
Juliana Costela,894.360.172-78,17.449.168-0,Vale Eloah Correia,04/07/2024,02/04/2026
Elisa Caldeira,871.923.405-88,89.145.804-1,Conjunto de Duarte,01/08/2024,16/05/2025
Rafael Fernandes,863.712.094-69,90.144.167-4,Trevo Azevedo,13/09/2024,24/05/2025
Luiz Henrique Rodrigues,978.463.215-28,51.717.656-9,Passarela de Rocha,01/08/2024,05/12/2025
Maria Alice da Conceição,312.048.765-17,60.175.520-3,Aeroporto Cardoso,04/07/2024,20/09/2025
Bernardo da Luz,931.670.248-87,37.433.326-2,Estrada Cardoso,19/06/2024,28/02/2026
Srta. Maria Eduarda Novaes,706.458.321-62,31.733.292-3,Trevo de Costela,29/07/2024,03/05/2025
Ana Vitória Araújo,123.984.756-46,29.719.109-7,Chácara Araújo,19/09/2024,15/11/2025
Davi Lucca Azevedo,641.207.359-07,94.333.880-5,Estação de Lima,26/11/2023,25/09/2025
Maria Alice da Mata,704.523.698-00,76.422.346-2,Esplanada Heloísa Barros,13/11/2024,02/03/2026
Murilo Rodrigues,138.279.504-14,71.788.196-2,Loteamento de Viana,30/06/2023,04/06/2025
Maria Luiza da Luz,739.610.542-07,84.965.863-3,Praia Clara Carvalho,28/07/2024,07/12/2025
Helena Ferreira,285.064.739-00,17.692.397-6,Loteamento de Rezende,01/03/2024,03/05/2025
Isabel Cunha,729.641.053-16,16.630.903-5,Favela Duarte,29/02/2024,16/01/2026
Lorenzo Duarte,274.098.135-04,52.299.231-2,Trecho Nascimento,08/11/2024,22/01/2026
Amanda Farias,215.706.394-34,23.389.483-9,Recanto André Novaes,18/07/2024,21/03/2026
Nicole Rocha,317.589.604-93,67.451.746-2,Distrito Silva,03/09/2024,27/11/2025
Dra. Sophie Almeida,287.059.164-02,36.212.208-3,Viela de Melo,22/07/2023,08/06/2025
Ana Lívia Moura,708.694.152-20,56.675.421-0,Alameda de Barbosa,15/09/2023,11/08/2025
João Lucas Castro,826.359.071-02,21.739.421-3,Via Antônio Almeida,06/12/2023,30/11/2025
Luiz Gustavo da Mota,591.036.478-20,66.655.274-6,Trevo de Melo,07/06/2023,18/05/2025
Ryan Caldeira,732.594.601-52,89.616.706-9,Vereda Araújo,21/12/2024,04/06/2025
Yuri da Costa,470.689.351-84,77.990.432-8,Rodovia de Cunha,30/06/2023,17/05/2025
Thomas da Cruz,271.698.540-58,78.394.870-2,Chácara Murilo Melo,25/03/2024,09/10/2025
Lívia Martins,536.290.418-33,17.795.752-9,Viela Cauê da Rosa,28/06/2024,23/05/2025
Davi da Mata,603.852.941-15,76.453.671-5,Chácara de Silva,12/08/2023,24/05/2025
Maria Alice da Paz,563.472.018-44,41.126.793-2,Ladeira de Ferreira,07/04/2024,30/10/2025
